expression,model,ECS,correctness,hallucination_rate,robustness_score,hallucination_types,perturbation_types,perturbation_halluc_map,avg_response_time,num_outputs
(x**2 - 16)/(x - 4) + (x - 4),qwen/qwen-2.5-72b-instruct,0.5,0.125,0.875,0.275,"['none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'General_Logic_Hallucination']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'General_Logic_Hallucination', 'factored': 'General_Logic_Hallucination', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'General_Logic_Hallucination'}",1.4512500000000002,8
sin(x)**4 + 2*sin(x)**2*cos(x)**2 + cos(x)**4,meta-llama/llama-3-8b-instruct,0.25,0.125,0.875,0.175,"['Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention', 'none', 'Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'Extrinsic_Variable_Invention', 'expanded': 'Extrinsic_Variable_Invention', 'factored': 'none', 'simplified': 'Extrinsic_Variable_Invention', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",1.7062500000000003,8
sin(x)**4 + 2*sin(x)**2*cos(x)**2 + cos(x)**4,google/gemma-2-9b-it,0.3333333333333333,1.0,0.25,0.6833,"['Invalid_Syntax_Failure', 'none', 'none', 'Invalid_Syntax_Failure', 'none', 'none', 'none', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'Invalid_Syntax_Failure', 'expanded': 'none', 'factored': 'none', 'simplified': 'Invalid_Syntax_Failure', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",1.0385714285714285,6
sin(x)**4 + 2*sin(x)**2*cos(x)**2 + cos(x)**4,deepseek/deepseek-chat,0.625,1.0,0.0,0.85,"['none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",2.4299999999999997,8
sin(x)**4 + 2*sin(x)**2*cos(x)**2 + cos(x)**4,qwen/qwen-2.5-72b-instruct,0.625,1.0,0.0,0.85,"['none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",2.285,8
1 - sin(x)**2,meta-llama/llama-3-8b-instruct,0.375,0.625,0.375,0.525,"['none', 'none', 'none', 'General_Logic_Hallucination', 'none', 'none', 'Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",1.68625,8
1 - sin(x)**2,google/gemma-2-9b-it,0.7142857142857143,0.8571428571428571,0.25,0.7786,"['none', 'none', 'none', 'Invalid_Syntax_Failure', 'none', 'none', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'Invalid_Syntax_Failure', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",1.2657142857142858,7
1 - sin(x)**2,deepseek/deepseek-chat,0.375,0.75,0.25,0.6,"['none', 'none', 'none', 'General_Logic_Hallucination', 'none', 'none', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",2.8075,8
1 - sin(x)**2,qwen/qwen-2.5-72b-instruct,0.625,0.875,0.125,0.775,"['none', 'none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",1.65,8
(1 - cos(2*x))/2,meta-llama/llama-3-8b-instruct,0.375,0.375,0.625,0.375,"['General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'Extrinsic_Variable_Invention', 'none', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'General_Logic_Hallucination', 'factored': 'General_Logic_Hallucination', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",1.295,8
(1 - cos(2*x))/2,google/gemma-2-9b-it,0.625,0.75,0.25,0.7,"['none', 'none', 'none', 'none', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'none', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",1.13375,8
(1 - cos(2*x))/2,deepseek/deepseek-chat,0.875,0.875,0.125,0.875,"['none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",2.175,8
(1 - cos(2*x))/2,qwen/qwen-2.5-72b-instruct,0.5,0.875,0.125,0.725,"['none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",1.53875,8
tan(x)**2 + 1,meta-llama/llama-3-8b-instruct,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.7143,"['none', 'General_Logic_Hallucination', 'none', 'Extrinsic_Variable_Invention', 'none', 'none', 'none']","['original', 'expanded', 'factored', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'General_Logic_Hallucination', 'factored': 'none', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",2.015714285714286,7
tan(x)**2 + 1,google/gemma-2-9b-it,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.6571,"['none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none', 'none', 'General_Logic_Hallucination']","['original', 'expanded', 'factored', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'General_Logic_Hallucination'}",1.5985714285714288,7
tan(x)**2 + 1,deepseek/deepseek-chat,0.5714285714285714,0.8571428571428571,0.14285714285714285,0.7429,"['none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none', 'none', 'none']","['original', 'expanded', 'factored', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",3.0628571428571427,7
tan(x)**2 + 1,qwen/qwen-2.5-72b-instruct,0.42857142857142855,0.8571428571428571,0.14285714285714285,0.6857,"['none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none', 'none', 'none']","['original', 'expanded', 'factored', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",2.1271428571428572,7
sin(x)**2 - cos(x)**2,meta-llama/llama-3-8b-instruct,0.5714285714285714,0.14285714285714285,0.875,0.3107,"['Invalid_Syntax_Failure', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'none', 'General_Logic_Hallucination']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'Invalid_Syntax_Failure', 'expanded': 'General_Logic_Hallucination', 'factored': 'General_Logic_Hallucination', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'none', 'adv_zero_trick': 'General_Logic_Hallucination'}",2.0949999999999998,7
sin(x)**2 - cos(x)**2,google/gemma-2-9b-it,0.5,0.8333333333333334,0.375,0.6583,"['Invalid_Syntax_Failure', 'none', 'none', 'none', 'Invalid_Syntax_Failure', 'Extrinsic_Variable_Invention', 'none', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'Invalid_Syntax_Failure', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'Invalid_Syntax_Failure', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",1.3516666666666666,6
sin(x)**2 - cos(x)**2,deepseek/deepseek-chat,0.5,0.75,0.25,0.65,"['none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'General_Logic_Hallucination', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'General_Logic_Hallucination', 'adv_zero_trick': 'none'}",2.40625,8
sin(x)**2 - cos(x)**2,qwen/qwen-2.5-72b-instruct,0.5,0.625,0.375,0.575,"['none', 'General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'none', 'Extrinsic_Variable_Invention', 'none', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'General_Logic_Hallucination', 'factored': 'none', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",1.2874999999999999,8
log(a*b*c),meta-llama/llama-3-8b-instruct,0.5,0.5,0.5,0.5,"['none', 'General_Logic_Hallucination', 'none', 'Variable_Loss_Error', 'none', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'General_Logic_Hallucination', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'Variable_Loss_Error', 'adv_identity_mul': 'none', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",1.5633333333333332,6
log(a*b*c),google/gemma-2-9b-it,0.5,0.5,0.5,0.5,"['General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'none', 'none', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'General_Logic_Hallucination', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",1.8083333333333333,6
log(a*b*c),deepseek/deepseek-chat,0.5,0.5,0.5,0.5,"['General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'none', 'none', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'General_Logic_Hallucination', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",2.82,6
log(a*b*c),qwen/qwen-2.5-72b-instruct,0.5,0.5,0.5,0.5,"['General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'none', 'none', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'General_Logic_Hallucination', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",1.2266666666666668,6
log(a**2 * b) - log(a),meta-llama/llama-3-8b-instruct,0.5,0.5,0.5,0.5,"['none', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'none', 'none', 'Variable_Loss_Error']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'General_Logic_Hallucination', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'Variable_Loss_Error'}",1.4533333333333334,6
log(a**2 * b) - log(a),google/gemma-2-9b-it,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.2333,"['none', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'Variable_Loss_Error', 'General_Logic_Hallucination', 'General_Logic_Hallucination']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'General_Logic_Hallucination', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'Variable_Loss_Error', 'adv_identity_mul': 'General_Logic_Hallucination', 'adv_zero_trick': 'General_Logic_Hallucination'}",1.3583333333333332,6
log(a**2 * b) - log(a),deepseek/deepseek-chat,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6667,"['none', 'none', 'Extrinsic_Variable_Invention', 'none', 'none', 'General_Logic_Hallucination']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'General_Logic_Hallucination'}",2.223333333333333,6
log(a**2 * b) - log(a),qwen/qwen-2.5-72b-instruct,0.5,0.5,0.5,0.5,"['none', 'none', 'Extrinsic_Variable_Invention', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'General_Logic_Hallucination', 'adv_zero_trick': 'General_Logic_Hallucination'}",1.3316666666666668,6
log(a/b) + log(b),meta-llama/llama-3-8b-instruct,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333,"['none', 'none', 'Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",1.8633333333333333,6
log(a/b) + log(b),google/gemma-2-9b-it,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6667,"['none', 'none', 'none', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",1.3133333333333335,6
log(a/b) + log(b),deepseek/deepseek-chat,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6667,"['none', 'none', 'none', 'Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",2.8083333333333336,6
log(a/b) + log(b),qwen/qwen-2.5-72b-instruct,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6667,"['none', 'none', 'none', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",2.14,6
log(a**3) - 3*log(a),meta-llama/llama-3-8b-instruct,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.1667,"['Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention', 'none', 'Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'Extrinsic_Variable_Invention', 'expanded': 'Extrinsic_Variable_Invention', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",1.79,6
log(a**3) - 3*log(a),google/gemma-2-9b-it,0.4,0.4,0.6666666666666666,0.3867,"['Extrinsic_Variable_Invention', 'none', 'General_Logic_Hallucination', 'Invalid_Syntax_Failure', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'Extrinsic_Variable_Invention', 'expanded': 'none', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'Invalid_Syntax_Failure', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",2.1,5
log(a**3) - 3*log(a),deepseek/deepseek-chat,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.8333,"['none', 'none', 'Extrinsic_Variable_Invention', 'none', 'none', 'none']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",2.1966666666666668,6
log(a**3) - 3*log(a),qwen/qwen-2.5-72b-instruct,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.8333,"['none', 'none', 'Extrinsic_Variable_Invention', 'none', 'none', 'none']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",1.2833333333333334,6
log((a*b)/c),meta-llama/llama-3-8b-instruct,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.2333,"['General_Logic_Hallucination', 'Variable_Loss_Error', 'none', 'Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention', 'Variable_Loss_Error']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'Variable_Loss_Error', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'Variable_Loss_Error'}",1.8916666666666668,6
log((a*b)/c),google/gemma-2-9b-it,0.4,0.4,0.6666666666666666,0.3867,"['General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'Invalid_Syntax_Failure', 'none']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'General_Logic_Hallucination', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'Invalid_Syntax_Failure', 'adv_zero_trick': 'none'}",1.378,5
log((a*b)/c),deepseek/deepseek-chat,0.5,0.5,0.5,0.5,"['General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'none', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'General_Logic_Hallucination', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",2.3766666666666665,6
log((a*b)/c),qwen/qwen-2.5-72b-instruct,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333,"['General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'none', 'Extrinsic_Variable_Invention', 'General_Logic_Hallucination']","['original', 'expanded', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'General_Logic_Hallucination', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'General_Logic_Hallucination'}",1.53,6
(x**3 - 1)/(x - 1) + (x - 1),meta-llama/llama-3-8b-instruct,0.14285714285714285,0.0,1.0,0.0571,"['General_Logic_Hallucination', 'Invalid_Syntax_Failure', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'Invalid_Syntax_Failure', 'factored': 'General_Logic_Hallucination', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",1.41875,7
(x**3 - 1)/(x - 1) + (x - 1),google/gemma-2-9b-it,0.2857142857142857,0.42857142857142855,0.625,0.3607,"['General_Logic_Hallucination', 'none', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'Invalid_Syntax_Failure', 'General_Logic_Hallucination']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'none', 'factored': 'none', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Invalid_Syntax_Failure', 'adv_zero_trick': 'General_Logic_Hallucination'}",1.5242857142857145,7
(x**3 - 1)/(x - 1) + (x - 1),deepseek/deepseek-chat,0.375,0.5,0.5,0.45,"['General_Logic_Hallucination', 'none', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'none', 'factored': 'none', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",2.2512499999999998,8
