expression,model,strategy,ECS,correctness,hallucination_rate,robustness_score,hallucination_types,avg_response_time,num_valid_outputs
(x**2 - 16)/(x - 4) + (x - 4),meta-llama/llama-3-8b-instruct,zero_shot,0.75,0.25,0.75,0.45,"['General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination']",1.0825,4
(x**2 - 16)/(x - 4) + (x - 4),meta-llama/llama-3-8b-instruct,chain_of_thought,0.25,0.25,0.75,0.25,"['General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination']",2.825,4
(x**2 - 16)/(x - 4) + (x - 4),meta-llama/llama-3-8b-instruct,symbolic_scaffolding,0.25,0.25,0.75,0.25,"['General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination']",2.5725,4
(x**2 - 16)/(x - 4) + (x - 4),meta-llama/llama-3-8b-instruct,self_consistency,0.25,0.25,0.75,0.25,"['General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination']",2.3925,4
(x**2 - 16)/(x - 4) + (x - 4),google/gemma-2-9b-it,zero_shot,0.25,0.25,0.75,0.25,"['General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination']",0.9049999999999999,4
(x**2 - 16)/(x - 4) + (x - 4),google/gemma-2-9b-it,chain_of_thought,1.0,1.0,0.0,1.0,"['none', 'none', 'none', 'none']",2.12,4
(x**2 - 16)/(x - 4) + (x - 4),google/gemma-2-9b-it,symbolic_scaffolding,0.25,0.5,0.5,0.4,"['General_Logic_Hallucination', 'none', 'none', 'General_Logic_Hallucination']",2.175,4
(x**2 - 16)/(x - 4) + (x - 4),google/gemma-2-9b-it,self_consistency,0.25,0.25,0.75,0.25,"['General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination']",3.1299999999999994,4
(x**2 - 16)/(x - 4) + (x - 4),deepseek/deepseek-chat,zero_shot,0.5,0.5,0.5,0.5,"['General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'none']",1.8275,4
(x**2 - 16)/(x - 4) + (x - 4),deepseek/deepseek-chat,chain_of_thought,1.0,1.0,0.25,0.95,"['Invalid_Syntax_Failure', 'none', 'none', 'none']",7.9725,3
(x**2 - 16)/(x - 4) + (x - 4),deepseek/deepseek-chat,symbolic_scaffolding,1.0,1.0,0.0,1.0,"['none', 'none', 'none', 'none']",7.4475,4
(x**2 - 16)/(x - 4) + (x - 4),deepseek/deepseek-chat,self_consistency,0.5,0.25,0.75,0.35,"['General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination']",4.65,4
(x**2 - 16)/(x - 4) + (x - 4),qwen/qwen-2.5-72b-instruct,zero_shot,0.5,0.25,0.75,0.35,"['General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination']",0.93,4
(x**2 - 16)/(x - 4) + (x - 4),qwen/qwen-2.5-72b-instruct,chain_of_thought,1.0,1.0,0.5,0.9,"['none', 'none', 'Invalid_Syntax_Failure', 'Invalid_Syntax_Failure']",7.237500000000001,2
(x**2 - 16)/(x - 4) + (x - 4),qwen/qwen-2.5-72b-instruct,symbolic_scaffolding,0.75,0.75,0.25,0.75,"['General_Logic_Hallucination', 'none', 'none', 'none']",4.145,4
(x**2 - 16)/(x - 4) + (x - 4),qwen/qwen-2.5-72b-instruct,self_consistency,0.5,0.25,0.75,0.35,"['General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination']",2.7075,4
